rank,name,symbol
1,Bitcoin,BTC
2,Ethereum,ETH
3,Ethereum 2,ETH2
4,Tether,USDT
5,Binance Coin,BNB
6,USD Coin,USDC
7,XRP,XRP
8,Cardano,ADA
9,Solana,SOL
10,Terra,LUNA
11,Avalanche,AVAX
12,Dogecoin,DOGE
13,Binance USD,BUSD
14,Polkadot,DOT
15,SHIBA INU,SHIB
16,TerraUSD,UST
17,Polygon,MATIC
18,Crypto.com Coin,CRO
19,Dai,DAI
20,Wrapped Bitcoin,WBTC
21,Litecoin,LTC
22,Cosmos,ATOM
23,Chainlink,LINK
24,TRON,TRX
25,NEAR Protocol,NEAR
26,Uniswap,UNI
27,Bitcoin Cash,BCH
28,FTX Token,FTT
29,Algorand,ALGO
30,UNUS SED LEO,LEO
31,Decentraland,MANA
32,Stellar Lumens,XLM
33,Fantom,FTM
34,Bitcoin BEP2,BTCB
35,Hedera,HBAR
36,Internet Computer,ICP
37,Ethereum Classic,ETC
38,The Sandbox,SAND
39,Elrond,EGLD
40,Filecoin,FIL
41,Klaytn,KLAY
42,Axie Infinity,AXS
43,VeChain,VET
44,THETA,THETA
45,Tezos,XTZ
46,Monero,XMR
47,Helium,HNT
48,IOTA,MIOTA
49,EOS,EOS
50,PancakeSwap,CAKE
51,Flow,FLOW
52,The Graph,GRT
53,Aave,AAVE
54,BitTorrent (new),BTT
55,Harmony,ONE
56,Gala,GALA
57,Maker,MKR
58,Neo,NEO
59,Stacks,STX
60,Bitcoin SV,BSV
61,KuCoin Token,KCS
62,Zcash,ZEC
63,Huobi Token,HT
64,TrueUSD,TUSD
65,eCash,XEC
66,Enjin Coin,ENJ
67,Quant,QNT
68,THORChain,RUNE
69,Convex Finance,CVX
70,Kusama,KSM
71,Amp,AMP
72,Curve DAO Token,CRV
73,OKB,OKB
74,Chiliz,CHZ
75,Loopring,LRC
76,Nexo,NEXO
77,Basic Attention Token,BAT
78,Celo,CGLD
79,Kadena,KDA
80,Dash,DASH
81,Waves,WAVES
82,Theta Fuel,TFUEL
83,Mina,MINA
84,Paxos Standard,PAX
85,Secret,SCRT
86,NEM,XEM
87,Arweave,AR
88,Oasis Network,ROSE
89,Symbol,XYM
90,BORA,BORA
91,Holo,HOT
92,Decred,DCR
93,yearn.finance,YFI
94,Compound,COMP
95,IoTeX (ERC-20),IOTX
96,Celsius,CEL
97,XDC Network,XDC
98,1inch,1INCH
99,Qtum,QTUM
100,renBTC,RENBTC
101,Rally,RLY
102,Ravencoin,RVN
103,Gnosis,GNO
104,Velas,VLX
105,Synthetix Network Token,SNX
106,SushiSwap,SUSHI
107,Rari Governance Token,RGT
108,JOE,JOE
109,Reef,REEF
110,WEMIX,WEMIX
111,WAX,WAXP
112,Render Token,RNDR
113,Ontology,ONT
114,Ultra,UOS
115,Illuvium,ILV
116,Radio Caca,RACA
117,Vulcan Forged PYR,PYR
118,PlayDapp,PLA
119,CEEK VR,CEEK
120,Chromia,CHR
121,Yield Guild Games,YGG
122,MOBOX,MBOX
123,MyNeighborAlice,ALICE
