name,symbol,rank,ETF
Bitcoin,BTC,1,Ventidex
Ethereum,ETH,2,Ventidex
Binance Coin,BNB,3,Ventidex
USD Coin,USDC,4,Ventidex
XRP,XRP,5,Ventidex
Cardano,ADA,6,Ventidex
Solana,SOL,7,Ventidex
Terra,LUNA,8,Ventidex
Avalanche,AVAX,9,Ventidex
Polkadot,DOT,10,Ventidex
PancakeSwap,CAKE,1,Farmdex
Aave,AAVE,2,Farmdex
Curve DAO Token,CRV,3,Farmdex
Compound,COMP,4,Farmdex
Rally,RLY,5,Farmdex
Synthetix Network Token,SNX,6,Farmdex
SushiSwap,SUSHI,7,Farmdex
Rari Governance Token,RGT,8,Farmdex
JOE,JOE,9,Farmdex
Reef,REEF,10,Farmdex
Decentraland,MANA,1,Metadex
The Sandbox,SAND,2,Metadex
Axie Infinity,AXS,3,Metadex
Theta Network,THETA,4,Metadex
Enjin Coin,ENJ,5,Metadex
WEMIX,WEMIX,6,Metadex
WAX,WAXP,7,Metadex
Render Token,RNDR,8,Metadex
SushiSwap,SUSHI,9,Metadex
Ontology,ONT,10,Metadex
Ultra,UOS,11,Metadex
Illuvium,ILV,12,Metadex
Radio Caca,RACA,13,Metadex
Vulcan Forged PYR,PYR,14,Metadex
PlayDapp,PLA,15,Metadex
CEEK VR,CEEK,16,Metadex
Chromia,CHR,17,Metadex
Yield Guild Games,YGG,18,Metadex
MOBOX,MBOX,19,Metadex
MyNeighborAlice,ALICE,20,Metadex
